# Polymarket Wallets - Top 250 Best (All Wallets)
# Format: address,winrate%,trades,daily_frequency,pnl_total,status
# Generated by Polymarket Notifier
# Includes: All wallets sorted by winrate (accepted + rejected)

# === 100% WINRATE WALLETS ===
  1. 0xed88d69d689f3e2f6d1f77b2e35d089c581df3c4 | Winrate: 100.0% | Trades: 164 | Daily: 18.53 | PnL: $10,324,334.88 | Status: accepted
169. 0x20953dffe284479f577b0c5bf3a96d541583b939 | Winrate: 100.0% | Trades: 11 | Daily: 12.00 | PnL: $0.82 | Status: rejected
170. 0x6ff3ea81700aea829dfbce2e26d50a5c7005a768 | Winrate: 100.0% | Trades: 80 | Daily: 0.47 | PnL: $0.77 | Status: accepted
171. 0x30cf35563c2e528f47cbe4f280e4f937d40828d7 | Winrate: 100.0% | Trades: 50 | Daily: 0.23 | PnL: $0.66 | Status: accepted
172. 0xf47ecc21fc93bad8114878e856ff480255de560c | Winrate: 100.0% | Trades: 34 | Daily: 0.16 | PnL: $0.45 | Status: rejected
173. 0xf011a7403e5fc8de282b38277ce164206978d85b | Winrate: 100.0% | Trades: 5 | Daily: 0.00 | PnL: $0.39 | Status: rejected
174. 0xd5255979f932615746264429c814f8774cdaee26 | Winrate: 100.0% | Trades: 34 | Daily: 0.16 | PnL: $0.36 | Status: rejected
175. 0x8538355183ba5ad8e68ea835f6b44a78d8184705 | Winrate: 100.0% | Trades: 3 | Daily: 0.00 | PnL: $0.10 | Status: rejected
176. 0x53a9bc248c70b4c6196c03a641bf1649960d210d | Winrate: 100.0% | Trades: 3 | Daily: 0.00 | PnL: $0.10 | Status: rejected
177. 0x45e6a120ccf1eeadd764b854bd981f35adbefacf | Winrate: 100.0% | Trades: 2 | Daily: 0.00 | PnL: $0.05 | Status: rejected

# === 90-99% WINRATE WALLETS ===
178. 0xc0603879ceb00f8011e65271e9b55888e6d54fea | Winrate: 96.0% | Trades: 49 | Daily: 26.44 | PnL: $388.57 | Status: rejected
179. 0x21c142b69c0faa61238d630bac6a067eb5e8692c | Winrate: 95.8% | Trades: 48 | Daily: 1.54 | PnL: $1,007.41 | Status: rejected
180. 0x3ed7344d1e9df0ced4706c6800603cee226de617 | Winrate: 95.2% | Trades: 26 | Daily: 4.03 | PnL: $388,960.41 | Status: rejected
181. 0x5f1208807609d117013a970d5b48d8c0bab9a229 | Winrate: 95.0% | Trades: 33 | Daily: 0.85 | PnL: $51.29 | Status: rejected
182. 0x39404080b26100c954e5ffa43d6977eeb83828f1 | Winrate: 92.0% | Trades: 34 | Daily: 0.14 | PnL: $18.76 | Status: rejected
183. 0xa385e92f0b9a42c8627097fc57edcc071c3cc5fe | Winrate: 91.3% | Trades: 39 | Daily: 5.56 | PnL: $15.22 | Status: rejected

# === 80-89% WINRATE WALLETS ===
184. 0x3d0240d78e06cb1b6438f69e4dfdd7b57ffbadad | Winrate: 88.0% | Trades: 37 | Daily: 0.24 | PnL: $3,842.81 | Status: rejected
185. 0x77add09dc3203df69184179d4ac49e23bac6ba8a | Winrate: 88.0% | Trades: 50 | Daily: 7.01 | PnL: $2,480.59 | Status: accepted
186. 0xf1fe141e439eb2cf5aceaaa0a902708e885060b3 | Winrate: 88.0% | Trades: 29 | Daily: 0.09 | PnL: $31.95 | Status: rejected
187. 0xf8f01bfd69fd819fd104b27d65870d59bfbc2df1 | Winrate: 87.5% | Trades: 17 | Daily: 0.05 | PnL: $9.54 | Status: rejected
188. 0xc9af3f93f3a727191de4cb92a18a979ba3e76371 | Winrate: 86.4% | Trades: 57 | Daily: 4.02 | PnL: $100,568.87 | Status: accepted
189. 0xb744f56635b537e859152d14b022af5afe485210 | Winrate: 85.7% | Trades: 39 | Daily: 10.28 | PnL: $2,568,033.91 | Status: rejected
190. 0x2cc0cf0cc582efde79f3f9fc2b0cd7fa5eadd2d0 | Winrate: 85.7% | Trades: 17 | Daily: 18.23 | PnL: $113,035.11 | Status: rejected
191. 0xbdc6b1a8d7e90b22b5700d5a517c001f419f8919 | Winrate: 85.7% | Trades: 31 | Daily: 3.46 | PnL: $27.52 | Status: rejected
192. 0x78b0fd98d177d5a2277e7eed2010f2a8e9a80190 | Winrate: 84.6% | Trades: 34 | Daily: 0.10 | PnL: $-79.01 | Status: rejected
193. 0x3657862e57070b82a289b5887ec943a7c2166b14 | Winrate: 84.0% | Trades: 31 | Daily: 6.49 | PnL: $1,812,581.06 | Status: rejected
194. 0x756cfe34ff22d3abdeacb3047abaf5b6e93a6cc3 | Winrate: 84.0% | Trades: 31 | Daily: 0.14 | PnL: $-0.79 | Status: rejected
195. 0xee71c3e18168c85a4847c19eecb8c6f3a8ed9204 | Winrate: 83.3% | Trades: 30 | Daily: 6.42 | PnL: $140.82 | Status: rejected
196. 0xb9b74017638787f8525a9f2234e576d87b4d1d81 | Winrate: 83.3% | Trades: 19 | Daily: 0.46 | PnL: $49.65 | Status: rejected
197. 0x07a9bf6d9a913df0e149bb2d652998b57fd832c8 | Winrate: 81.8% | Trades: 40 | Daily: 0.11 | PnL: $2,283.33 | Status: rejected
198. 0x0d3b10b8eac8b089c6e4a695e65d8e044167c46b | Winrate: 80.0% | Trades: 47 | Daily: 9.12 | PnL: $3,001,882.60 | Status: rejected
199. 0xbcb1906104da9785f5dd1dd3ee1fec4edfedadc4 | Winrate: 80.0% | Trades: 19 | Daily: 0.73 | PnL: $117.70 | Status: rejected
200. 0x8de2cebd8ec4c7ed023347d2aad27b3fe08e8483 | Winrate: 80.0% | Trades: 25 | Daily: 2.34 | PnL: $91.98 | Status: rejected
201. 0xbc8960448d5f00ff0be2aeb8c47fa5a5ab579365 | Winrate: 80.0% | Trades: 9 | Daily: 2.64 | PnL: $17.02 | Status: rejected
202. 0x8a5306eca5ec1fe9baa8f743c6d266937517b79c | Winrate: 80.0% | Trades: 11 | Daily: 19.00 | PnL: $1.28 | Status: rejected

# === 70-79% WINRATE WALLETS ===
203. 0xc2721798db169b13697953ece092401ce7135256 | Winrate: 77.8% | Trades: 28 | Daily: 0.08 | PnL: $565.47 | Status: rejected
204. 0xbe481896d233bd16c591375e8b393248c6ae0678 | Winrate: 75.0% | Trades: 38 | Daily: 9.49 | PnL: $32.17 | Status: rejected
205. 0x074a9e27218dd7c8c45c505df256e656d0f0d266 | Winrate: 75.0% | Trades: 22 | Daily: 7.44 | PnL: $29.44 | Status: rejected
206. 0x43b02a1b0db98a4060dcea209981b388d8185823 | Winrate: 75.0% | Trades: 14 | Daily: 13.84 | PnL: $3.72 | Status: rejected
207. 0xa0d6a6a414afd0edfb688f2ecac11739f1955f80 | Winrate: 75.0% | Trades: 6 | Daily: 0.00 | PnL: $-152.20 | Status: rejected
208. 0x56813812fc837eedb614d8c231787f83a865e113 | Winrate: 73.7% | Trades: 28 | Daily: 10.29 | PnL: $2,706,694.97 | Status: rejected
209. 0x2c32a47d9d0cee375147ba86172ec90d8ab8e15f | Winrate: 73.7% | Trades: 21 | Daily: 0.07 | PnL: $-213.78 | Status: rejected
210. 0x6155109ac32c1a25255cddbb7d45c743dca47ebb | Winrate: 72.7% | Trades: 14 | Daily: 0.25 | PnL: $189,547.63 | Status: rejected
211. 0x12527e5553c88dadc0dce7e7a3fb8943f39eda0b | Winrate: 72.2% | Trades: 31 | Daily: 11.53 | PnL: $305.14 | Status: rejected
212. 0x5ebc4cc45a737fa50f76f770dd46dfdd269dcade | Winrate: 72.0% | Trades: 43 | Daily: 8.45 | PnL: $122.51 | Status: rejected
213. 0x8258dc7a35be754750fe618932b96e04e945389a | Winrate: 71.4% | Trades: 54 | Daily: 4.82 | PnL: $16.02 | Status: accepted

# === 60-69% WINRATE WALLETS ===
214. 0xbe195349beb0b8572991469ff9f64a3f1ef6eeb9 | Winrate: 68.0% | Trades: 22 | Daily: 63.00 | PnL: $195,348.04 | Status: rejected
215. 0x9308e3e5a3995566a7f37c398f6cdc4c67860321 | Winrate: 66.7% | Trades: 18 | Daily: 0.06 | PnL: $23.28 | Status: rejected
216. 0x2afaadfdc2746b6070276915bd28bfa7836db2d4 | Winrate: 66.7% | Trades: 5 | Daily: 0.00 | PnL: $-8.38 | Status: rejected
217. 0x08f8ea98844c863c0876f78e1d8e440d26a581cd | Winrate: 64.7% | Trades: 22 | Daily: 10.29 | PnL: $2.31 | Status: rejected
218. 0x0a854897a06d4999e5b2dde5693609f1428ffe9d | Winrate: 64.0% | Trades: 62 | Daily: 1.76 | PnL: $480,528.65 | Status: rejected
219. 0x1d594ba3899da7b237e86632f4355d1f5227acc9 | Winrate: 64.0% | Trades: 17 | Daily: 100.00 | PnL: $723.00 | Status: rejected
220. 0x9c693ddad8d792fd52a6875c1bf08a93d1bf7576 | Winrate: 64.0% | Trades: 51 | Daily: 19.55 | PnL: $19.69 | Status: rejected
221. 0x9f881c3911a2833be03a35a1d08da5cef9672088 | Winrate: 60.0% | Trades: 24 | Daily: 3.57 | PnL: $88.20 | Status: rejected

# === 50-59% WINRATE WALLETS ===
222. 0xc62c9864c2daa320e1e539a1d24a94f06e1121f5 | Winrate: 56.0% | Trades: 36 | Daily: 0.24 | PnL: $6.60 | Status: rejected
223. 0xe767b972f6bdad023b0f6ef896893242330ed58c | Winrate: 53.3% | Trades: 33 | Daily: 4.92 | PnL: $42.12 | Status: rejected
224. 0xf28be75bfd70d1c4259f89a0767951dc31833e1c | Winrate: 53.3% | Trades: 17 | Daily: 4.71 | PnL: $4.02 | Status: rejected
225. 0x5439c1d2912342160512c141838ac6165500a522 | Winrate: 52.0% | Trades: 41 | Daily: 1.59 | PnL: $1.57 | Status: rejected
226. 0xf1528f12e645462c344799b62b1b421a6a4c64aa | Winrate: 50.0% | Trades: 10 | Daily: 0.00 | PnL: $6,730.81 | Status: rejected
227. 0x4a8377aae3570a61f9d8c2c824d9e9e61d3c9516 | Winrate: 50.0% | Trades: 34 | Daily: 0.30 | PnL: $135.74 | Status: rejected
228. 0x5e72b473d30bd6cf2dae06af377f7372a6a66170 | Winrate: 50.0% | Trades: 25 | Daily: 4.46 | PnL: $9.99 | Status: rejected
229. 0xc5e200971185d63aaf320727bb585fc09d7e4429 | Winrate: 50.0% | Trades: 3 | Daily: 0.00 | PnL: $9.58 | Status: rejected
230. 0x235350853bfeee6ecaa1d50dc95159003ea57739 | Winrate: 50.0% | Trades: 15 | Daily: 8.05 | PnL: $0.55 | Status: rejected
231. 0xf574c68e997a8f92370f515ecbe34ffa9c9abef8 | Winrate: 50.0% | Trades: 9 | Daily: 0.28 | PnL: $0.40 | Status: rejected
232. 0x1a98219de4fec27cf9285977224cda06033b4db9 | Winrate: 50.0% | Trades: 10 | Daily: 0.30 | PnL: $-0.21 | Status: rejected
233. 0xdd9c9ed5a9d79063198c65497cf63b527f6a09c2 | Winrate: 50.0% | Trades: 8 | Daily: 11.00 | PnL: $-0.25 | Status: rejected
234. 0xed10019714948207c23b1f089a56301fefb11025 | Winrate: 50.0% | Trades: 13 | Daily: 0.84 | PnL: $-3.38 | Status: rejected
235. 0xc4c2c2da0d3648c295b47a1654a19f487d924626 | Winrate: 50.0% | Trades: 28 | Daily: 0.12 | PnL: $-1,156.56 | Status: rejected

# === BELOW 50% WINRATE WALLETS ===
236. 0x907b9efda3d06d0700a1428dc3e9a5f9c1219a59 | Winrate: 43.8% | Trades: 35 | Daily: 0.11 | PnL: $-13.91 | Status: rejected
237. 0xd66577f26682a949d00631ac13181d9967bbb932 | Winrate: 42.9% | Trades: 25 | Daily: 1.16 | PnL: $-0.68 | Status: rejected
238. 0x3f83eb960426a47b298ac6a3b8596624d8c83738 | Winrate: 42.9% | Trades: 15 | Daily: 0.09 | PnL: $-30.34 | Status: rejected
239. 0xeb1a64d7b829918047681acc4827e305922ecbe2 | Winrate: 42.9% | Trades: 14 | Daily: 0.03 | PnL: $-1,055.52 | Status: rejected
240. 0x47c8b611e4ef38786fc19f1092c6cdcb995e0db0 | Winrate: 40.0% | Trades: 37 | Daily: 1.62 | PnL: $1.28 | Status: rejected
241. 0x75299bae937a1949dea2c6841fc4281a9c5b7fd9 | Winrate: 40.0% | Trades: 51 | Daily: 28.66 | PnL: $-26.20 | Status: rejected
242. 0x5afbafb011df085b8e418aba7c4793cf1bb84511 | Winrate: 40.0% | Trades: 29 | Daily: 46.22 | PnL: $-973,297.74 | Status: rejected
243. 0x3d341db672803c647fd1dc87616551a9c682e77f | Winrate: 37.5% | Trades: 29 | Daily: 1.46 | PnL: $3.08 | Status: rejected
244. 0xda42f85cf1d9f9f9932ddfa6cbe9ddec2587dc4f | Winrate: 37.5% | Trades: 26 | Daily: 3.54 | PnL: $-2.70 | Status: rejected
245. 0xf5e4951176eabd556fd0c89097aabc2d6debfce7 | Winrate: 36.4% | Trades: 13 | Daily: 1.16 | PnL: $-0.90 | Status: rejected
246. 0x9fa99d9473f93deaebc56eda792bc302be46752c | Winrate: 36.0% | Trades: 27 | Daily: 0.20 | PnL: $0.32 | Status: rejected
247. 0xe87b951a2e627611c45b50be9523b227ce8ea884 | Winrate: 36.0% | Trades: 32 | Daily: 0.16 | PnL: $-6.00 | Status: rejected
248. 0x5c694b657d28302a3d26c61e380c22ab184c10d0 | Winrate: 36.0% | Trades: 31 | Daily: 0.16 | PnL: $-6.62 | Status: rejected
249. 0x628d22072abcc93e7993a9cc2167c36639262190 | Winrate: 33.3% | Trades: 4 | Daily: 0.00 | PnL: $-1.31 | Status: rejected
250. 0x66a0254bc0314f740b80455ef678ddc7838e04d4 | Winrate: 33.3% | Trades: 4 | Daily: 0.00 | PnL: $-1.37 | Status: rejected

# Summary:
# Total wallets: 250
# 100% winrate: 177
# 90-99% winrate: 6
# 80-89% winrate: 19
# 70-79% winrate: 11
# 60-69% winrate: 8
# 50-59% winrate: 14
# Below 50% winrate: 15
# Total PnL: $95,721,924.50
# Average trades per wallet: 934.5
# Average daily frequency: 29.03
# Average winrate: 89.94%
